"","Date","period","GoldPrice","Date2","OilPrice","GoldPrice_interp","OilPrice_interp"
"1",2010-01-01,NA,NA,2010-01-01,NA,686.83,81.52
"2",2010-01-02,NA,NA,NA,NA,686.83,81.52
"3",2010-01-03,NA,NA,NA,NA,686.83,81.52
"4",2010-01-04,2010-01-04,686.83,2010-01-04,81.52,686.83,81.52
"5",2010-01-05,2010-01-05,701.7,2010-01-05,81.74,701.7,81.74
"6",2010-01-06,2010-01-06,702.77,2010-01-06,83.12,702.77,83.12
"7",2010-01-07,2010-01-07,709.47,2010-01-07,82.6,709.47,82.6
"8",2010-01-08,2010-01-08,699.91,2010-01-08,82.74,699.91,82.74
"9",2010-01-09,NA,NA,NA,NA,705.38,82.6733333333333
"10",2010-01-10,NA,NA,NA,NA,710.85,82.6066666666667
"11",2010-01-11,2010-01-11,716.32,2010-01-11,82.54,716.32,82.54
"12",2010-01-12,2010-01-12,713.82,2010-01-12,80.79,713.82,80.79
"13",2010-01-13,2010-01-13,697.38,2010-01-13,79.66,697.38,79.66
"14",2010-01-14,2010-01-14,698.71,2010-01-14,79.35,698.71,79.35
"15",2010-01-15,2010-01-15,695.33,2010-01-15,77.96,695.33,77.96
"16",2010-01-16,NA,NA,NA,NA,694.946666666667,78.215
"17",2010-01-17,NA,NA,NA,NA,694.563333333333,78.47
"18",2010-01-18,2010-01-18,694.18,2010-01-18,NA,694.18,78.725
"19",2010-01-19,2010-01-19,691.3,2010-01-19,78.98,691.3,78.98
"20",2010-01-20,2010-01-20,693.57,2010-01-20,77.42,693.57,77.42
"21",2010-01-21,2010-01-21,682.83,2010-01-21,75.84,682.83,75.84
"22",2010-01-22,2010-01-22,674.6,2010-01-22,74.25,674.6,74.25
"23",2010-01-23,NA,NA,NA,NA,677.183333333333,74.4666666666667
"24",2010-01-24,NA,NA,NA,NA,679.766666666667,74.6833333333333
"25",2010-01-25,2010-01-25,682.35,2010-01-25,74.9,682.35,74.9
