period,LBMA Gold Prices - daily - euro - AM (LBMA/gold_D/gold_D_EUR_AM)
1968-01-02,14.64
1968-01-03,14.62
1968-01-04,14.6
1968-01-05,14.6
1968-01-08,14.59
1968-01-09,14.58
1968-01-10,14.58
1968-01-11,14.6
1968-01-12,14.61
1968-01-15,14.6
1968-01-16,14.6
1968-01-17,14.61
1968-01-18,14.61
1968-01-19,14.61
1968-01-22,14.61
1968-01-23,14.61
1968-01-24,14.6
1968-01-25,14.6
1968-01-26,14.6
1968-01-29,14.6
1968-01-30,14.59
1968-01-31,14.59
1968-02-01,14.59
1968-02-02,14.6
1968-02-05,14.59
1968-02-06,14.6
1968-02-07,14.59
1968-02-08,14.6
1968-02-09,14.6
1968-02-12,14.6
1968-02-13,14.6
1968-02-14,14.6
1968-02-15,14.6
1968-02-16,14.6
1968-02-19,14.6
1968-02-20,14.59
1968-02-21,14.6
1968-02-22,14.6
1968-02-23,14.62
1968-02-26,14.63
1968-02-27,14.63
1968-02-28,14.63
1968-02-29,14.64
1968-03-01,14.66
1968-03-04,14.67
1968-03-05,14.68
1968-03-06,14.64
1968-03-07,14.67
1968-03-08,14.71
1968-03-11,14.68
1968-03-12,14.69
1968-03-13,14.69
1968-03-14,14.73
1968-04-01,15.81
1968-04-02,15.64
1968-04-03,15.68
1968-04-04,15.25
1968-04-05,15.47
1968-04-08,15.38
1968-04-09,15.49
1968-04-10,15.64
1968-04-11,15.84
1968-04-16,15.86
1968-04-17,15.81
1968-04-18,15.65
1968-04-19,15.68
1968-04-22,15.96
1968-04-23,15.86
1968-04-24,15.99
1968-04-25,15.95
1968-04-26,16.06
1968-04-29,16.09
1968-04-30,16.32
1968-05-01,16.31
1968-05-02,16.38
1968-05-03,16.53
1968-05-06,16.58
1968-05-07,16.41
1968-05-08,16.49
1968-05-09,16.59
1968-05-10,16.64
1968-05-13,16.5
1968-05-14,16.58
1968-05-15,16.77
1968-05-16,17.1
1968-05-17,17.43
1968-05-20,17.6
1968-05-21,17.86
1968-05-22,17.68
1968-05-23,17.4
1968-05-24,17.51
1968-05-27,17.4
1968-05-28,17.44
1968-05-29,17.4
1968-05-30,17.5
1968-05-31,17.62
1968-06-04,17.27
1968-06-05,17.35
1968-06-06,17.3
1968-06-07,17.28
1968-06-10,17.33
1968-06-11,17.3
1968-06-12,17.64
1968-06-13,17.35
1968-06-14,16.85
1968-06-17,17.14
1968-06-18,17.05
1968-06-19,17.36
1968-06-20,17.22
1968-06-21,17.22
1968-06-24,17.22
1968-06-25,17.14
1968-06-26,17.18
1968-06-27,17.12
1968-06-28,17.19
1968-07-01,17.16
1968-07-02,17.14
1968-07-03,17.16
1968-07-04,17.23
1968-07-05,17.25
1968-07-08,17.17
1968-07-09,16.99
1968-07-10,16.81
1968-07-11,16.51
1968-07-12,16.36
1968-07-15,16.37
1968-07-16,16.27
1968-07-17,15.8
1968-07-18,15.89
1968-07-19,16.35
1968-07-22,16.16
1968-07-23,16.16
1968-07-24,16.39
1968-07-25,16.34
1968-07-26,16.19
1968-07-29,16.24
1968-07-30,16.33
1968-07-31,16.24
1968-08-01,16.21
1968-08-02,16.21
1968-08-05,16.22
1968-08-06,16.23
1968-08-07,16.2
1968-08-08,16.1
1968-08-09,16.06
1968-08-12,16.12
1968-08-13,16.19
1968-08-14,16.28
1968-08-15,16.3
1968-08-16,16.34
1968-08-19,16.36
1968-08-20,16.45
1968-08-21,16.85
1968-08-22,16.6
1968-08-23,16.6
1968-08-26,16.5
1968-08-27,16.56
1968-08-28,16.57
1968-08-29,16.68
1968-08-30,16.72
1968-09-03,16.77
1968-09-04,16.74
1968-09-05,16.76
1968-09-06,16.79
1968-09-09,16.77
1968-09-10,16.76
1968-09-11,16.75
1968-09-12,16.78
1968-09-13,16.83
1968-09-16,16.85
1968-09-17,16.97
1968-09-18,16.93
1968-09-19,16.97
1968-09-20,16.95
1968-09-23,16.91
1968-09-24,16.94
1968-09-25,16.91
1968-09-26,16.93
1968-09-27,16.87
1968-09-30,16.63
1968-10-01,16.58
1968-10-02,16.03
1968-10-03,16.32
1968-10-04,16.28
1968-10-07,16.65
1968-10-08,16.64
1968-10-09,16.4
1968-10-10,16.25
1968-10-11,16.41
1968-10-14,16.49
1968-10-15,16.41
1968-10-16,16.3
1968-10-17,16.4
1968-10-18,16.49
1968-10-21,16.36
1968-10-22,16.3
1968-10-23,16.39
1968-10-24,16.4
1968-10-25,16.44
1968-10-28,16.47
1968-10-29,16.57
1968-10-30,16.44
1968-10-31,16.4
1968-11-01,16.27
1968-11-04,16.42
1968-11-05,16.46
1968-11-06,16.52
1968-11-07,16.54
1968-11-08,16.49
1968-11-11,16.53
1968-11-12,16.63
1968-11-13,16.63
1968-11-14,16.65
1968-11-15,16.77
1968-11-18,16.78
1968-11-19,16.81
1968-11-20,NA
1968-11-21,NA
1968-11-22,NA
1968-11-25,16.91
1968-11-26,16.8
1968-11-27,16.65
1968-11-28,16.7
1968-11-29,16.71
1968-12-02,16.72
1968-12-03,16.84
1968-12-04,17.1
1968-12-05,16.97
1968-12-06,16.94
1968-12-09,17.05
1968-12-10,17.07
1968-12-11,17.08
1968-12-12,17.32
1968-12-13,17.15
1968-12-16,17.18
1968-12-17,17.28
1968-12-18,17.54
1968-12-19,17.48
1968-12-20,17.47
1968-12-23,17.49
1968-12-24,17.49
1968-12-27,17.49
1968-12-30,17.62
1968-12-31,17.59
1969-01-02,17.53
1969-01-03,17.57
1969-01-06,17.63
1969-01-07,17.66
1969-01-08,17.8
1969-01-09,17.81
1969-01-10,17.74
1969-01-13,17.6
1969-01-14,17.77
1969-01-15,17.92
1969-01-16,17.9
1969-01-17,17.56
1969-01-20,17.68
1969-01-21,17.76
1969-01-22,17.82
1969-01-23,17.65
1969-01-24,17.58
1969-01-27,17.66
1969-01-28,17.76
1969-01-29,17.76
1969-01-30,17.81
1969-01-31,17.81
1969-02-03,17.78
1969-02-04,17.76
1969-02-05,17.86
1969-02-06,17.83
1969-02-07,17.8
1969-02-10,17.8
1969-02-11,17.79
1969-02-12,17.82
1969-02-13,17.8
1969-02-14,17.76
1969-02-17,17.82
1969-02-18,17.82
1969-02-19,17.83
1969-02-20,17.82
1969-02-21,17.82
1969-02-24,17.86
1969-02-25,17.85
1969-02-26,17.86
1969-02-27,17.88
1969-02-28,17.87
1969-03-03,17.86
1969-03-04,17.86
1969-03-05,17.9
1969-03-06,18.06
1969-03-07,18.26
1969-03-10,18.3
1969-03-11,18.12
1969-03-12,17.99
1969-03-13,18.05
1969-03-14,18.01
1969-03-17,18.01
1969-03-18,17.93
1969-03-19,18.0
1969-03-20,18.03
1969-03-21,18.06
1969-03-24,18.08
1969-03-25,18.14
1969-03-26,18.11
